 Z        fluid       surfact
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
  0.10000000000000001        0.0000000000000000        0.0000000000000000     
  0.20000000000000001        0.0000000000000000        0.0000000000000000     
  0.30000000000000004        0.0000000000000000        0.0000000000000000     
  0.40000000000000002        0.0000000000000000        0.0000000000000000     
  0.50000000000000000        0.0000000000000000        0.0000000000000000     
  0.60000000000000009        0.0000000000000000        0.0000000000000000     
  0.70000000000000007        3.3333333333333333E-006   0.0000000000000000     
  0.80000000000000004        4.2666666666666667E-004   0.0000000000000000     
  0.90000000000000002        3.8966666666666668E-003   4.0999999999999999E-004
   1.0000000000000000        8.0566666666666668E-003   1.7700000000000001E-003
   1.1000000000000001        9.4533333333333327E-003   4.2199999999999998E-003
   1.2000000000000002        1.0000000000000000E-002   6.0899999999999999E-003
   1.3000000000000000        1.0266666666666667E-002   8.3700000000000007E-003
   1.4000000000000001        9.7133333333333325E-003   9.7500000000000000E-003
   1.5000000000000000        9.6533333333333332E-003   1.1089999999999999E-002
   1.6000000000000001        9.4299999999999991E-003   1.1490000000000000E-002
   1.7000000000000002        9.8799999999999999E-003   1.1240000000000000E-002
   1.8000000000000000        1.0183333333333334E-002   1.0730000000000000E-002
   1.9000000000000001        1.0846666666666666E-002   1.1020000000000000E-002
   2.0000000000000000        1.1610000000000001E-002   1.1790000000000000E-002
   2.1000000000000001        1.2316666666666667E-002   1.2109999999999999E-002
   2.2000000000000002        1.2476666666666667E-002   1.2560000000000000E-002
   2.3000000000000003        1.2493333333333334E-002   1.3790000000000000E-002
   2.4000000000000004        1.2513333333333333E-002   1.3169999999999999E-002
   2.5000000000000000        1.2673333333333333E-002   1.4189999999999999E-002
   2.6000000000000001        1.2683333333333333E-002   1.3820000000000001E-002
   2.7000000000000002        1.2780000000000000E-002   1.3330000000000000E-002
   2.8000000000000003        1.2766666666666667E-002   1.4370000000000001E-002
   2.9000000000000004        1.3136666666666666E-002   1.4290000000000001E-002
   3.0000000000000000        1.2919999999999999E-002   1.4449999999999999E-002
   3.1000000000000001        1.2980000000000000E-002   1.4460000000000001E-002
   3.2000000000000002        1.3123333333333334E-002   1.4470000000000000E-002
   3.3000000000000003        1.3196666666666667E-002   1.4530000000000000E-002
   3.4000000000000004        1.3210000000000000E-002   1.4910000000000000E-002
   3.5000000000000000        1.2786666666666667E-002   1.4919999999999999E-002
   3.6000000000000001        1.3190000000000000E-002   1.5400000000000000E-002
   3.7000000000000002        1.2803333333333333E-002   1.5859999999999999E-002
   3.8000000000000003        1.2786666666666667E-002   1.5040000000000000E-002
   3.9000000000000004        1.3330000000000000E-002   1.4980000000000000E-002
   4.0000000000000000        1.3326666666666667E-002   1.4570000000000000E-002
   4.1000000000000005        1.3203333333333333E-002   1.5350000000000001E-002
   4.2000000000000002        1.3346666666666666E-002   1.5490000000000000E-002
   4.2999999999999998        1.3113333333333333E-002   1.5020000000000000E-002
   4.4000000000000004        1.3303333333333334E-002   1.4700000000000000E-002
   4.5000000000000000        1.3116666666666667E-002   1.5620000000000000E-002
   4.6000000000000005        1.3196666666666667E-002   1.5120000000000000E-002
   4.7000000000000002        1.3246666666666667E-002   1.4640000000000000E-002
   4.8000000000000007        1.3400000000000000E-002   1.5129999999999999E-002
   4.9000000000000004        1.3666666666666667E-002   1.4160000000000001E-002
   5.0000000000000000        1.3686666666666666E-002   1.4850000000000000E-002
   5.1000000000000005        1.3523333333333333E-002   1.3960000000000000E-002
   5.2000000000000002        1.3293333333333334E-002   1.4950000000000000E-002
   5.3000000000000007        1.3653333333333333E-002   1.4120000000000001E-002
   5.4000000000000004        1.4003333333333333E-002   1.3849999999999999E-002
   5.5000000000000000        1.3863333333333333E-002   1.3679999999999999E-002
   5.6000000000000005        1.4220000000000000E-002   1.3870000000000000E-002
   5.7000000000000002        1.3693333333333333E-002   1.2900000000000000E-002
   5.8000000000000007        1.4170000000000000E-002   1.3050000000000001E-002
   5.9000000000000004        1.4283333333333334E-002   1.2890000000000000E-002
   6.0000000000000000        1.4210000000000000E-002   1.3180000000000001E-002
   6.1000000000000005        1.4266666666666667E-002   1.3440000000000001E-002
   6.2000000000000002        1.4123333333333333E-002   1.3610000000000001E-002
   6.3000000000000007        1.3953333333333333E-002   1.3420000000000000E-002
   6.4000000000000004        1.4046666666666667E-002   1.3320000000000000E-002
   6.5000000000000000        1.3756666666666667E-002   1.2810000000000000E-002
   6.6000000000000005        1.3696666666666666E-002   1.2780000000000000E-002
   6.7000000000000002        1.3660000000000000E-002   1.2420000000000000E-002
   6.8000000000000007        1.3526666666666666E-002   1.3390000000000001E-002
   6.9000000000000004        1.3543333333333333E-002   1.3270000000000001E-002
   7.0000000000000000        1.3370000000000000E-002   1.2810000000000000E-002
