eps_12	n_surf	temp	job	superposicion
0.5	100	0.80	03	0.012545991266666667
0.5	100	0.80	01	0.012539350533333335
0.5	100	0.90	02	0.012219284233333329
0.5	100	0.90	03	0.012100671366666666
0.5	100	0.90	01	0.012004035733333336
0.5	100	0.70	02	0.013069619633333333
0.5	100	0.70	03	0.012766312566666669
0.5	100	0.70	01	0.012700611333333332
0.5	100	0.60	02	0.013837373900000007
0.5	100	0.60	03	0.012588070799999998
0.5	100	0.60	01	0.013631641133333332
0.5	100	0.40	02	0.016734689266666672
0.5	100	0.40	03	0.016697935533333336
0.5	100	0.40	01	0.017038301166666665
0.5	100	0.20	02	0.01955870416666667
0.5	100	0.20	03	0.01887414376666667
0.5	100	0.20	01	0.019995991433333336
0.5	100	0.50	02	0.011665000566666665
0.5	100	0.50	03	0.012955350333333334
0.5	100	0.50	01	0.01117397883333333
0.5	100	0.30	02	0.019073155799999998
0.5	100	0.30	03	0.019131352333333334
0.5	100	0.30	01	0.01856041903333334
0.5	010	0.80	02	0.015224463666666669
0.5	010	0.80	03	0.015495968666666662
0.5	010	0.80	01	0.015954738999999992
0.5	010	0.90	02	0.013541372333333334
0.5	010	0.90	03	0.013710058999999995
0.5	010	0.90	01	0.01391624400000001
0.5	010	0.70	02	0.01707847133333333
0.5	010	0.70	03	0.018000102333333313
0.5	010	0.70	01	0.01693231599999999
0.5	010	0.60	02	0.017645859
0.5	010	0.60	03	0.01870898166666666
0.5	010	0.60	01	0.018554729666666662
0.5	010	0.40	02	0.022796708000000013
0.5	010	0.40	03	0.025389081333333327
0.5	010	0.40	01	0.01565639766666667
0.5	010	0.20	02	0.02293617899999999
0.5	010	0.20	03	0.023837662
0.5	010	0.20	01	0.022082186666666666
0.5	010	0.50	02	0.020201183000000004
0.5	010	0.50	03	0.020604415666666674
0.5	010	0.50	01	0.021442316333333333
0.5	010	0.30	02	0.01854469166666667
0.5	010	0.30	03	0.010332629333333333
0.5	010	0.30	01	0.017197367999999994
0.8	050	0.80	02	0.015441110666666667
0.8	050	0.80	03	0.015469949399999997
0.8	050	0.80	01	0.01552458
0.8	050	0.90	02	0.014139545800000004
0.8	050	0.90	03	0.013929351066666667
0.8	050	0.90	01	0.014045664333333333
0.8	050	0.70	02	0.01705964146666667
0.8	050	0.70	03	0.01710946733333333
0.8	050	0.70	01	0.01702233326666666
0.8	050	0.60	02	0.018628154933333335
0.8	050	0.60	03	0.018731952933333334
0.8	050	0.60	01	0.018726619999999996
0.8	050	0.40	02	0.024238401399999998
0.8	050	0.40	03	0.021595473399999992
0.8	050	0.40	01	0.0252678904
0.8	050	0.20	02	0.02465697133333333
0.8	050	0.20	03	0.023579058333333337
0.8	050	0.20	01	0.02422061113333334
0.8	050	0.50	02	0.020184268000000002
0.8	050	0.50	03	0.020176465266666662
0.8	050	0.50	01	0.020077734
0.8	050	0.30	02	0.023959164933333332
0.8	050	0.30	03	0.024109364266666666
0.8	050	0.30	01	0.0244959722
0.8	030	0.80	02	0.016466427999999988
0.8	030	0.80	03	0.016454132333333326
0.8	030	0.80	01	0.016695171888888884
0.8	030	0.90	02	0.014681151666666665
0.8	030	0.90	03	0.014788220222222214
0.8	030	0.90	01	0.01489420077777778
0.8	030	0.70	02	0.01844613011111111
0.8	030	0.70	03	0.018815168444444436
0.8	030	0.70	01	0.018313029
0.8	030	0.60	02	0.02033615466666665
0.8	030	0.60	03	0.020720732111111105
0.8	030	0.60	01	0.020480595333333337
0.8	030	0.40	02	0.023419708444444447
0.8	030	0.40	03	0.023863968222222212
0.8	030	0.40	01	0.024811275666666667
0.8	030	0.20	02	0.029642403000000005
0.8	030	0.20	03	0.03576916777777778
0.8	030	0.20	01	0.02760401411111112
0.8	030	0.50	02	0.02197685455555555
0.8	030	0.50	03	0.022070367777777777
0.8	030	0.50	01	0.021897992555555554
0.8	030	0.30	02	0.03158054844444444
0.8	030	0.30	03	0.03344066766666667
0.8	030	0.30	01	0.029370884777777787
0.8	100	0.80	02	0.01325379116666667
0.8	100	0.80	03	0.013269968733333328
0.8	100	0.80	01	0.013243670499999999
0.8	100	0.90	02	0.012606313333333332
0.8	100	0.90	03	0.012609792266666668
0.8	100	0.90	01	0.012525306233333335
0.8	100	0.70	02	0.014179249500000001
0.8	100	0.70	03	0.014316494900000006
0.8	100	0.70	01	0.014263171199999997
0.8	100	0.60	02	0.0153913609
0.8	100	0.60	03	0.015385571933333331
0.8	100	0.60	01	0.015430593633333333
0.8	100	0.40	02	0.020319212533333332
0.8	100	0.40	03	0.02147987276666666
0.8	100	0.40	01	0.021356632599999995
0.8	100	0.20	02	0.020149837800000008
0.8	100	0.20	03	0.019988689566666665
0.8	100	0.20	01	0.020304411666666664
0.8	100	0.50	02	0.01664203190000001
0.8	100	0.50	03	0.016581590433333335
0.8	100	0.50	01	0.0165340026
0.8	100	0.30	02	0.022667010233333333
0.8	100	0.30	03	0.02309055129999999
0.8	100	0.30	01	0.02116065086666667
0.8	010	0.80	02	0.017843275999999998
0.8	010	0.80	03	0.017221023333333328
0.8	010	0.80	01	0.018027381333333325
0.8	010	0.90	02	0.015186415000000002
0.8	010	0.90	03	0.015468038666666666
0.8	010	0.90	01	0.015208247999999995
0.8	010	0.70	02	0.020334621333333327
0.8	010	0.70	03	0.020107095999999988
0.8	010	0.70	01	0.020232247000000002
0.8	010	0.60	02	0.022793617333333332
0.8	010	0.60	03	0.02231630133333334
0.8	010	0.60	01	0.022609238000000004
0.8	010	0.40	02	0.028211951000000002
0.8	010	0.40	03	0.027678410000000004
0.8	010	0.40	01	0.026444174999999993
0.8	010	0.20	02	0.029763255666666672
0.8	010	0.20	03	0.029810611666666667
0.8	010	0.20	01	0.023923716666666667
0.8	010	0.50	02	0.024457547666666662
0.8	010	0.50	03	0.024602784000000003
0.8	010	0.50	01	0.025102199333333325
0.8	010	0.30	02	0.031446798666666664
0.8	010	0.30	03	0.03252257533333333
0.8	010	0.30	01	0.03168246833333332
