 Paso    Potencial   Cinetica    Total     Presion
         500  -2.2019395833997284       0.71607576605911394       -1.4858638173406145       0.98482452671143461     
        1000  -2.1833695902134616       0.74659247263080508       -1.4367771175826565       0.90500010952209520     
        1500  -2.1076180647529390       0.73594472723493587       -1.3716733375180032        1.0395958029055388     
        2000  -2.0963487988861385       0.68335595200426891       -1.4129928468818695        1.0857047623335130     
        2500  -2.1369194131317175       0.71834249098932812       -1.4185769221423894       0.89941857143106207     
        3000  -2.1295674868836545       0.74795228528752744       -1.3816152015961269       0.89796899145928255     
        3500  -2.1530962602203028       0.74391144515587670       -1.4091848150644259       0.66244261222704259     
        4000  -2.1359252718459798       0.78000460079364542       -1.3559206710523344       0.80893872459614602     
        4500  -2.1414122818498287       0.74551812110885729       -1.3958941607409714       0.79346933228595029     
        5000  -2.1300482870431008       0.75446771120770462       -1.3755805758353961        1.0018294659579916     
        5500  -2.1435454267820400       0.78650571240754152       -1.3570397143744986       0.86017947838250530     
        6000  -2.1094819642003744       0.76301326039499118       -1.3464687038053831       0.82304055984325120     
        6500  -2.1117362571306768       0.78162190801788112       -1.3301143491127956        1.0193206034339761     
        7000  -2.1229191401259540       0.81229838560012901       -1.3106207545258250       0.85090876978242258     
        7500  -2.0708260509956493       0.77720555974705974       -1.2936204912485896       0.92216574264040274     
        8000  -2.0374391940588783       0.74039459613404857       -1.2970445979248297       0.89319564455524370     
        8500  -2.0426507901097799       0.75230111106248854       -1.2903496790472913        1.0467265663570702     
        9000  -2.0651853995177665       0.78171868056154725       -1.2834667189562192       0.78534306404412224     
        9500  -2.0278238170694447       0.73601186582365052       -1.2918119512457942        1.1447547866150258     
       10000  -2.0592862603563713       0.79957145523324813       -1.2597148051231231        1.0422788796575775     
       10500  -2.0370553038540793       0.76672303809419151       -1.2703322657598877        1.1551307599573808     
       11000  -2.0155720686887948       0.79526377253117786       -1.2203082961576168        1.1163189315632627     
       11500  -2.0523778283599317       0.76139083871751689       -1.2909869896424149       0.84334450001830064     
       12000  -2.0588150780145313       0.72463635368749935       -1.3341787243270320       0.67863433162438058     
       12500  -2.0303752799671737       0.71563667455859403       -1.3147386054085797        1.3545248553499805     
       13000  -2.0693064349885564       0.72109029969803673       -1.3482161352905195       0.85570128378280164     
       13500  -2.1448803412193147       0.88640886631428628       -1.2584714749050283       0.69096005490782164     
       14000  -2.0928591429204588       0.72599929086601533       -1.3668598520544435       0.97786054661109834     
       14500  -2.1407696475420028       0.74156365144030267       -1.3992059961017000       0.78903682877410497     
       15000  -2.0894180176412611       0.73185054508680247       -1.3575674725544586       0.74815171236657885     
       15500  -2.1326768246027075       0.73700536292940688       -1.3956714616733006       0.77273640869374671     
       16000  -2.1533133865250322       0.74986237792293009       -1.4034510086021021       0.79551059289713633     
       16500  -2.1326609732931470       0.76382138987726245       -1.3688395834158844        1.0770804268223126     
       17000  -2.0882732630397776       0.73941824635031650       -1.3488550166894611        1.1479293032991742     
       17500  -2.1007967161112902       0.66274358626527508       -1.4380531298460151        1.2458798042205310     
